Data Download from NCSES Interactive Data Tool

Filters,Selected values
"State","ALL"
"Fiscal Year","ALL"
"Institution Name","ALL"

"Deflator: 2012 Dollars",
"Unit of Measure: Thousands of Dollars",

,"<Fiscal Year>","2019","2018","2017","2016","2015","2014","2013","2012","2011","2010","2009","2008","2007","2006","2005","2004","2003","2002","2001","2000","1999","1998","1997","1996","1995","1994","1993","1992","1991","1990","1989","1988","1987","1986","1985","1984","1983","1982","1981","1980","1979","1978","1977","1976","1975","1974","1973",
"California","California State U., Northridge","18,780","17,814","16,655","15,415","12,724","12,530","9,474","29,491","26,146","30,662","21,917","21,821","23,642","19,030","24,326","33,078","29,071","13,101","7,758","7,928","4,229","2,889","4,109","5,384","6,708","8,100","9,552","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-",
"California","California State U., Sacramento","20,960","19,458","19,552","19,518","17,111","12,670","15,296","14,053","16,657","15,822","15,222","5,004","198","235","271","309","348","385","422","464","507","547","587","631","678","727","779","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-",
"California","California State U., San Bernardino","14,299","15,166","11,972","10,168","14,617","13,100","11,736","9,303","11,813","4,357","10,390","13,244","11,606","15,005","21,977","17,654","15,727","4,614","2,389","2,302","4,322","518","457","402","345","287","226","186","146","105","62","15","33","74","121","147","18","18","22","109","232","-","99","124","147","128","68",
"California","California State U., San Marcos","9,432","7,580","6,067","6,262","6,138","8,007","8,657","7,802","6,925","6,022","7,139","711","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-",
"California","California State U., Stanislaus","1,315","1,266","1,264","1,178","1,031","1,096","1,319","1,881","1,516","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","756","1,548","2,369","3,259","4,221","3,965","3,747","4,194","266","-","386","22","171","168","112",
"California","Chapman U.","17,442","12,840","9,844","6,187","5,108","4,624","4,386","3,314","3,615","3,985","2,342","1,611","2,232","2,296","960","1,138","1,231","1,318","577","478","441","400","356","313","269","223","176","102","118","135","132","137","123","108","92","76","59","41","45","7","8","-","15","22","7","22","52",
"California","Charles R. Drew U. of Medicine and Science","12,231","10,433","14,500","12,612","13,482","19,952","18,227","20,580","22,575","23,048","60,634","52,208","56,352","52,393","49,452","61,328","60,428","60,257","46,017","39,762","32,060","22,854","23,111","22,390","17,393","13,279","9,942","11,678","10,700","7,806","4,722","4,785","5,106","3,488","1,779","-","-","-","-","-","-","-","-","-","-","-","-",
"California","Claremont Graduate U.","7,758","8,063","8,379","8,694","8,947","9,201","9,538","10,350","6,715","7,404","4,500","6,472","7,202","7,453","6,941","6,788","5,401","2,405","2,969","3,094","2,449","533","1,212","1,503","1,415","1,746","1,467","949","867","916","1,215","2,291","2,396","2,299","2,186","2,091","1,996","1,897","279","334","338","1,556","1,486","1,315","2,248","465","535",
"California","Claremont McKenna C.","5,532","5,169","5,390","5,753","-","5,269","5,321","5,365","5,418","5,957","780","710","733","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-",
"California","Claremont School of Theology","-","-","-","-","-","-","-","-","585","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-",
"California","Dominican U. California","-","-","-","-","-","-","-","-","966","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-",
"California","Fuller Theological Seminary","-","1,914","1,733","1,542","2,861","2,996","2,289","-","858","400","629","469","957","809","1,343","1,123","889","637","373","102","105","36","36","15","19","50","160","59","228","79","98","85","35","22","13","13","12","61","58","-","-","-","-","-","-","-","-",
"California","Harvey Mudd C.","2,985","3,441","3,472","4,089","3,122","3,016","3,533","3,512","3,935","3,344","2,843","3,187","2,992","2,555","1,988","2,571","3,709","4,862","6,041","7,299","7,462","6,733","5,969","5,218","4,444","3,650","2,821","2,971","3,122","3,314","3,528","3,759","3,310","2,982","2,591","2,601","1,861","2,617","2,645","1,769","276","-","254","352","593","1,230","148",
"California","High Tech High Graduate School of Ed.","-","782","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-",
"California","Humboldt State U.","13,421","13,660","14,793","15,239","10,705","8,011","7,887","9,510","9,754","10,243","16,064","9,342","7,663","7,217","7,255","7,295","7,302","7,244","7,161","7,117","7,276","5,867","5,608","5,380","5,147","4,917","4,676","4,434","4,173","3,941","3,700","3,442","3,008","2,518","1,994","1,463","901","1,262","1,584","-","-","-","1,118","1,010","1,045","1,329","1,249",
"California","Immaculate Heart C.","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","13","10","15","16",
"California","John F. Kennedy U.","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","355","44",
"California","Keck Graduate Institute","1,865","1,786","1,737","1,712","1,643","2,056","2,316","1,920","2,357","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-",
"California","La Sierra U.","1,407","2,022","2,040","1,185","1,112","1,019","-","-","746","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-",
"California","Loma Linda U.","21,729","20,814","20,237","21,690","24,353","22,545","31,168","31,772","40,165","37,446","39,532","38,066","30,296","36,030","34,200","34,974","31,852","29,606","30,308","31,211","24,640","16,987","17,994","14,808","12,899","13,075","13,102","11,924","9,405","11,853","8,551","10,999","13,093","10,704","8,155","7,172","6,148","5,056","5,154","9,678","9,799","9,986","9,433","6,469","5,866","4,309","4,165",
"California","Loyola Marymount U.","6,474","7,183","6,550","7,084","6,097","7,364","6,649","5,746","6,579","4,741","5,155","3,777","2,947","2,345","1,042","1,241","816","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-",
"California","Marshall B. Ketchum U.","1,273","1,318","1,401","1,407","1,401","993","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-",
"California","Mills C.","1,463","1,680","3,106","3,342","3,015","3,491","3,802","2,747","2,280","1,747","3,080","594","622","611","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-",
"California","Mt. St. Mary's C.","-","-","-","-","-","-","-","-","638","673","577","326","557","645","652","580","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-",
"California","National Flight Test Institute","-","-","-","-","-","-","-","-","180","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-",
"California","National Hispanic U. Oakland","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","1,074","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-",
"California","National U.","-","-","-","2,266","2,200","2,078","4,430","4,482","3,194","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-",
"California","Naval Postgraduate School","59,934","53,767","55,940","61,858","85,095","95,517","93,244","132,450","103,307","107,699","86,787","95,392","72,413","69,631","62,037","66,271","80,877","66,983","59,605","52,291","44,644","45,289","43,431","41,958","38,279","37,701","35,252","30,319","29,468","27,314","24,939","26,271","22,881","23,740","22,378","20,768","19,118","16,193","14,371","14,936","15,079","12,517","14,219","8,069","10,369","9,521","11,670",
"California","Occidental C.","2,188","1,312","1,634","1,896","1,473","2,100","1,606","1,592","1,844","2,382","2,763","2,238","1,786","1,609","2,412","2,797","3,189","3,088","1,934","1,058","1,129","2,949","2,982","3,033","3,089","3,154","3,221","2,558","2,385","2,555","3,277","2,599","2,598","2,571","2,529","2,512","2,503","1,964","3,300","2,181","1,599","-","1,187","1,261","895","465","598",
"California","Olivet U.","-","-","-","-","-","-","-","-","435","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-",
"California","Pacific Union C.","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","5","5","5","6","6","6","6","114","-","-","27","19","-","11","36",
"California","Palo Alto U.","-","875","-","-","-","-","-","-","584","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-",
"California","Pepperdine U.","1,932","1,774","2,220","3,000","2,590","2,316","2,359","2,571","1,961","2,780","923","591","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-",
"California","Pitzer C.","-","-","-","-","-","-","-","-","273","361","265","237","293","306","244","377","425","354","404","491","389","345","322","578","757","945","421","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","18","148",
"California","Point Loma Nazarene U.","-","-","-","-","-","-","-","-","-","-","-","235","387","417","299","245","188","126","233","211","212","215","218","221","225","230","235","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-",
"California","Pomona C.","2,657","2,709","2,969","3,484","3,376","3,682","3,616","3,259","3,710","3,042","3,404","4,501","4,115","3,532","2,780","3,033","2,672","2,545","1,627","2,294","2,120","1,342","1,461","1,591","1,725","1,870","2,020","2,274","2,034","1,852","2,059","908","1,052","1,189","1,327","1,486","1,661","1,852","2,101","2,292","2,370","-","1,025","1,013","1,484","1,516","1,077",
"California","San Diego State U.","82,761","80,066","82,620","85,640","89,296","92,278","85,237","92,867","108,635","103,149","95,864","86,319","80,754","92,596","95,628","91,274","93,689","79,334","73,107","70,446","59,681","55,677","54,517","59,032","49,100","41,637","47,146","45,575","43,404","35,376","32,789","32,798","29,753","17,888","14,739","11,827","14,106","12,296","9,982","10,449","11,676","11,625","12,659","11,787","9,903","10,858","11,339",
"California","San Francisco State U.","28,388","28,061","27,736","26,689","25,141","28,411","33,301","30,291","26,700","26,652","26,655","22,678","29,457","31,429","27,463","50,605","15,141","17","6,546","6,690","6,547","6,747","6,924","7,148","7,384","7,647","7,921","7,023","6,072","5,130","4,130","3,055","3,385","3,612","2,853","3,338","3,099","2,408","3,099","2,602","2,458","-","1,510","924","523","663","1,065",
"California","San Jose State U.","39,446","37,561","36,306","39,328","42,979","41,965","37,665","34,727","40,919","39,789","58,117","55,585","51,095","54,701","55,621","52,041","52,021","30,848","28,461","26,903","27,504","27,901","28,215","28,702","29,228","29,840","30,477","27,220","18,382","15,841","15,459","17,109","16,392","15,445","14,376","13,407","12,416","11,369","5,143","4,627","3,951","-","4,362","3,598","2,469","2,255","1,955",
"California","Santa Clara U.","2,064","2,088","1,987","1,941","1,583","2,781","2,335","3,329","2,453","3,970","4,280","4,228","4,124","4,108","4,133","-","4,075","3,731","3,413","3,213","3,046","2,908","2,790","2,670","2,637","2,578","2,633","3,124","2,399","2,464","2,275","2,294","1,918","1,728","2,041","2,172","1,882","3,120","2,918","2,761","2,538","2,441","2,332","3,093","2,556","2,511","3,731",
"California","Scripps C.","-","-","-","-","-","-","-","1,016","1,038","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-",
"California","Scripps Research Institute","380,789","360,337","328,474","344,241","366,605","372,522","393,002","398,673","408,455","402,971","402,380","388,237","389,800","407,895","377,680","363,188","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-",
"California","Sonoma State U.","-","-","-","654","1,110","1,653","1,905","-","841","893","618","692","457","798","762","307","597","421","922","192","175","258","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-",
"California","Southern CA C. of Optometry","-","-","-","-","-","-","-","-","804","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-",
"California","Stanford U.","1,071,960","1,051,120","1,028,001","1,006,535","975,822","925,200","929,143","903,238","925,385","873,826","754,732","741,250","759,569","768,617","832,806","807,285","749,020","664,358","605,223","586,372","558,526","545,022","531,002","480,339","443,695","452,557","444,972","546,578","478,459","470,405","465,982","469,882","422,263","400,869","365,001","330,211","308,966","277,548","280,582","267,596","262,266","246,359","230,269","230,939","224,050","197,494","215,391",
"California","Touro U.","3,154","2,936","2,892","3,272","2,964","2,958","2,118","2,237","1,813","1,270","1,374","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-",
"California","U. California, Berkeley","714,807","723,241","714,067","730,880","752,471","717,924","714,463","730,348","721,523","722,136","718,466","657,981","616,580","626,026","634,348","619,958","614,345","585,732","559,311","664,105","591,248","558,460","506,912","432,232","405,192","411,459","412,572","422,648","392,012","362,899","342,108","315,573","307,248","285,596","274,688","252,960","232,982","208,357","213,730","213,795","194,335","196,385","209,726","215,890","218,056","213,396","226,195",
